multiplier,x,y
40,0.0078125,0.0112825634701574
40,0.0234375,0.0055972105704697
40,0.0390625,0.0020083834675453
40,0.0546875,0.0010218351321485
40,0.0703125,0.0005051693388344
40,0.0859375,0.0007181168250441
40,0.1015625,0.0007757479935893
40,0.1171875,0.000800274103457
40,0.1328125,0.0008188379297331
40,0.1484375,0.0008530879000196
40,0.1640625,0.0008692494304825
40,0.1796875,0.0008838020064651
40,0.1953125,0.0008870684286349
40,0.2109375,0.0009100793469345
40,0.2265625,0.0009040102816857
40,0.2421875,0.0009345420262722
40,0.2578125,0.0008988470019427
40,0.2734375,0.0009343929825132
40,0.2890625,0.0009631740403409
40,0.3046875,0.000980216894542
40,0.3203125,0.0009818577919152
40,0.3359375,0.0010168669774351
40,0.3515625,0.0010476815560289
40,0.3671875,0.0009586789328259
40,0.3828125,0.0010040563416856
40,0.3984375,0.0010632052670719
40,0.4140625,0.0011048093257301
40,0.4296875,0.0010410124885816
40,0.4453125,0.0010695584945702
40,0.4609375,0.0012077302338123
40,0.4765625,0.0011270184422924
40,0.4921875,0.0011797073741429
40,0.5078125,0.0013657108110301
40,0.5234375,0.0013331733506544
40,0.5390625,0.0011233559937296
40,0.5546875,0.0013622248063731
40,0.5703125,0.0013918184224304
40,0.5859375,0.0013213431496525
40,0.6015625,0.0011831772732757
40,0.6171875,0.0014358162415888
40,0.6328125,0.0014012938800387
40,0.6484375,0.0015929698324351
40,0.6640625,0.0013189763368682
40,0.6796875,0.0016461294894173
40,0.6953125,0.0013938680941126
40,0.7109375,0.0014140847344967
40,0.7265625,0.001500936189743
40,0.7421875,0.0016106549299647
40,0.7578125,0.0016827568627471
40,0.7734375,0.0018705024774506
40,0.7890625,0.0015331359616636
40,0.8046875,0.0020354583731455
40,0.8203125,0.0014861739195984
40,0.8359375,0.0021790426452864
40,0.8515625,0.0023349359022624
40,0.8671875,0.0024259535564821
40,0.8828125,0.0027036037599098
40,0.8984375,0.0034700721656558
40,0.9140625,0.0025597571617932
40,0.9296875,0.0021659444609231
40,0.9453125,0.0028430235223654
40,0.9609375,0.0037985276633319
40,0.9765625,0.0025153682907698
40,0.9921875,0.0029541834430897
80,0.0078125,0.0116729221176569
80,0.0234375,0.005825580080849
80,0.0390625,0.0019893225059148
80,0.0546875,0.0010177493020389
80,0.0703125,0.000507968956599
80,0.0859375,0.0007176899537934
80,0.1015625,0.0007718515189458
80,0.1171875,0.0008054481151228
80,0.1328125,0.0008265506776959
80,0.1484375,0.0008603105177864
80,0.1640625,0.0008861520387756
80,0.1796875,0.0009056324572481
80,0.1953125,0.000920500329314
80,0.2109375,0.0009436980886562
80,0.2265625,0.0009475479228547
80,0.2421875,0.0009792451588153
80,0.2578125,0.0009873779225097
80,0.2734375,0.0010023899399775
80,0.2890625,0.0010777244652564
80,0.3046875,0.0009993519316946
80,0.3203125,0.001062567256289
80,0.3359375,0.0011115687036403
80,0.3515625,0.001145058512696
80,0.3671875,0.0010725402240879
80,0.3828125,0.0010714794428561
80,0.3984375,0.0011811296988832
80,0.4140625,0.0011674290322718
80,0.4296875,0.0012176347715256
80,0.4453125,0.0012469738640709
80,0.4609375,0.0012502392544427
80,0.4765625,0.001397082734436
80,0.4921875,0.0014142969638665
80,0.5078125,0.0015601012184447
80,0.5234375,0.0012536224106281
80,0.5390625,0.0013047852887082
80,0.5546875,0.0014868025849182
80,0.5703125,0.0016302570509367
80,0.5859375,0.0018017216297296
