x,y
0.7161285514808977,1
0.7527076003155362,0
0.7892866491501747,0
0.8258656979848131,0
0.8624447468194517,0
0.8990237956540902,0
0.9356028444887287,5
0.9721818933233671,13
1.0087609421580055,64
1.0453399909926442,3951
1.0819190398272824,4025
1.1184980886619211,104857
1.1550771374965594,131037
1.191656186331198,77842
1.2282352351658365,55314
1.264814284000475,42720
1.3013933328351135,34034
1.337972381669752,27045
1.3745514305043904,21665
1.411130479339029,17789
1.4477095281736674,16553
1.4842885770083059,15227
1.5208676258429445,13432
1.5574466746775828,11245
1.5940257235122215,10480
1.6306047723468597,9600
1.6671838211814984,9395
1.703762870016137,8460
1.7403419188507754,7678
1.7769209676854139,7401
1.8135000165200523,6511
1.8500790653546908,5863
1.8866581141893293,5800
1.9232371630239677,5691
1.9598162118586062,5078
1.9963952606932447,4791
2.032974309527883,4926
2.069553358362522,4046
2.10613240719716,3824
2.1427114560317984,3624
2.1792905048664375,3520
2.2158695537010757,3667
2.252448602535714,3355
2.2890276513703527,3008
2.3256067002049914,3145
2.3621857490396296,3230
2.398764797874268,3483
2.4353438467089066,3165
2.4719228955435453,2929
2.5085019443781835,2778
2.5450809932128218,2761
2.5816600420474605,2757
2.618239090882099,2762
2.6548181397167374,2326
2.6913971885513757,2609
2.727976237386015,2534
2.764555286220653,2584
2.8011343350552913,2489
2.83771338388993,2236
2.8742924327245687,2497
2.910871481559207,2458
2.947450530393845,2351
2.984029579228484,2180
3.0206086280631226,2165
3.057187676897761,2061
3.0937667257323995,2077
3.130345774567038,1932
3.1669248234016765,1859
3.2035038722363147,2216
3.2400829210709534,2257
3.276661969905592,2435
3.3132410187402304,2583
3.3498200675748686,2811
3.3863991164095073,2656
3.422978165244146,2386
3.4595572140787842,1913
3.4961362629134225,1570
3.532715311748061,1569
3.5692943605827,1717
3.605873409417338,1439
3.6424524582519764,1468
3.6790315070866155,1274
3.7156105559212538,1387
3.752189604755892,1714
3.7887686535905307,1772
3.8253477024251694,1681
3.8619267512598077,1716
3.898505800094446,1540
3.9350848489290846,1090
3.9716638977637233,992
4.0082429465983616,783
4.044821995433,620
4.081401044267638,590
4.117980093102277,524
4.154559141936915,408
4.191138190771554,473
4.227717239606193,327
4.26429628844083,178
4.300875337275469,134
4.3374543861101085,180
4.374033434944746,174
4.410612483779385,140
4.447191532614023,96
4.4837705814486615,20
4.520349630283301,26
4.556928679117938,24
4.593507727952577,31
4.630086776787216,29
4.666665825621854,32
4.703244874456493,3
4.73982392329113,7
4.776402972125769,9
4.812982020960408,9
4.849561069795046,0
4.886140118629685,14
4.922719167464324,12
4.959298216298961,14
4.9958772651336005,11
5.032456313968239,27
5.069035362802877,14
