x,E_p,tercile_index,tercile_label
19.42477487260476,2.253991051595153,0,"(0.057, 4.5)"
36.29825386260636,2.271792027372455,0,"(0.057, 4.5)"
25.268628149013967,2.6263172213973083,0,"(0.057, 4.5)"
8.089284089300783,2.4742081660046455,0,"(0.057, 4.5)"
37.46943568983115,2.652113891069196,0,"(0.057, 4.5)"
28.38573890649714,2.6438757382057445,0,"(0.057, 4.5)"
9.341846862854435,2.5109910692572575,0,"(0.057, 4.5)"
11.787393604125828,2.5659316027545733,0,"(0.057, 4.5)"
16.634241465292874,1.7394787112723102,0,"(0.057, 4.5)"
23.999819076340646,1.7473327026981178,0,"(0.057, 4.5)"
16.634241465292874,2.4928196767541055,0,"(0.057, 4.5)"
23.999819076340646,2.5397120153769577,0,"(0.057, 4.5)"
28.215535079129044,2.668352708331951,0,"(0.057, 4.5)"
25.507868920313197,2.6265349292194293,0,"(0.057, 4.5)"
44.091941421991216,2.6392227501552195,0,"(0.057, 4.5)"
5.0248540445230905,2.3298299444096036,0,"(0.057, 4.5)"
4.815353215066716,2.3136180542020552,0,"(0.057, 4.5)"
44.98710315548815,2.654522227031227,0,"(0.057, 4.5)"
35.68334406469948,2.5277232543438783,0,"(0.057, 4.5)"
15.8982760314364,2.5155557125092183,0,"(0.057, 4.5)"
35.68334406469948,2.498235979299898,0,"(0.057, 4.5)"
15.8982760314364,2.4377940330429793,0,"(0.057, 4.5)"
20.020088958647104,2.6253117075363837,0,"(0.057, 4.5)"
9.413431669631974,2.53493791918725,0,"(0.057, 4.5)"
27.108490514336157,2.5772128903077016,0,"(0.057, 4.5)"
22.096972019318493,2.576398120707433,0,"(0.057, 4.5)"
5.900536612607539,2.2491084784572815,0,"(0.057, 4.5)"
3.3190540499053895,2.1417401327581005,0,"(0.057, 4.5)"
3.115493112523109,2.0727209769060124,0,"(0.057, 4.5)"
14.893448021681982,2.585653025550015,0,"(0.057, 4.5)"
42.28030389463529,2.676797229001087,0,"(0.057, 4.5)"
32.21611135499552,2.6429110620825016,0,"(0.057, 4.5)"
29.942146108904858,1.9991119263208956,0,"(0.057, 4.5)"
10.514261805126443,1.9197545967441427,0,"(0.057, 4.5)"
31.97513368991204,2.289592683663979,0,"(0.057, 4.5)"
33.890131551818925,2.269118348763088,0,"(0.057, 4.5)"
2.6134801547043027,2.0819789083938827,0,"(0.057, 4.5)"
30.895393271232027,2.334086736879299,0,"(0.057, 4.5)"
11.066571464389565,2.53655269675559,0,"(0.057, 4.5)"
41.09082628386095,2.640769774831128,0,"(0.057, 4.5)"
39.25655417125672,2.6414255545103167,0,"(0.057, 4.5)"
1.8089466419536624,1.822087610568268,0,"(0.057, 4.5)"
17.60953637803905,2.5174586442646096,0,"(0.057, 4.5)"
17.798757999250668,2.5178298616001373,0,"(0.057, 4.5)"
22.55134946154431,2.615431415250693,0,"(0.057, 4.5)"
43.96084788795561,2.656696654223089,0,"(0.057, 4.5)"
22.55134946154431,1.5860820726354663,0,"(0.057, 4.5)"
43.96084788795561,1.613011263768472,0,"(0.057, 4.5)"
10.484350894996895,2.4777574063463734,0,"(0.057, 4.5)"
26.21586370803416,2.581847305756874,0,"(0.057, 4.5)"
10.484350894996895,2.5178877914056192,0,"(0.057, 4.5)"
26.21586370803416,2.6232509485158455,0,"(0.057, 4.5)"
41.26762168384157,1.564952926406899,0,"(0.057, 4.5)"
8.594993461854758,1.492055681747578,0,"(0.057, 4.5)"
30.955148320086305,2.6132076360640273,0,"(0.057, 4.5)"
33.06264311852865,2.6053495680930396,0,"(0.057, 4.5)"
30.94139801561833,2.6213241433600327,0,"(0.057, 4.5)"
12.539295676862825,2.518182903657715,0,"(0.057, 4.5)"
3.675260488828645,2.203345121707194,0,"(0.057, 4.5)"
7.10693610678427,2.423027224524212,0,"(0.057, 4.5)"
6.459623632254079,2.2706787020084613,0,"(0.057, 4.5)"
19.39156206417829,2.418996884404676,0,"(0.057, 4.5)"
22.2161186628975,2.438867126350555,0,"(0.057, 4.5)"
39.82999457302503,2.4707611281710475,0,"(0.057, 4.5)"
20.491373799694703,2.5788837193976035,0,"(0.057, 4.5)"
13.02831856138073,2.5129068799109935,0,"(0.057, 4.5)"
26.319869736721746,2.351999570689467,0,"(0.057, 4.5)"
29.95591420512647,2.35761179922611,0,"(0.057, 4.5)"
44.82780554750934,2.665115999466235,0,"(0.057, 4.5)"
17.06846775803715,2.601237793678443,0,"(0.057, 4.5)"
12.044447395438327,2.5411272096329465,0,"(0.057, 4.5)"
2.8574968606233595,2.0836085399956055,0,"(0.057, 4.5)"
12.044447395438327,1.9815078043118663,0,"(0.057, 4.5)"
2.8574968606233595,1.867377036765244,0,"(0.057, 4.5)"
16.140484676556664,2.620784465462395,0,"(0.057, 4.5)"
43.04657781105489,2.6762950295176102,0,"(0.057, 4.5)"
39.54099072730169,2.541476403661983,0,"(0.057, 4.5)"
27.407251776382328,2.5216619812757775,0,"(0.057, 4.5)"
0.2469875332899391,1.3709821696855624,0,"(0.057, 4.5)"
21.201378804398704,2.059661164240167,0,"(0.057, 4.5)"
36.71212827302516,2.56158105716595,0,"(0.057, 4.5)"
39.00359934880398,2.598966939901006,0,"(0.057, 4.5)"
36.71212827302516,2.614114197652514,0,"(0.057, 4.5)"
39.00359934880398,2.619748189447212,0,"(0.057, 4.5)"
18.93033739230596,2.598730145229012,0,"(0.057, 4.5)"
31.441913996217774,2.645191610242006,0,"(0.057, 4.5)"
8.850275864312426,1.298245787353016,0,"(0.057, 4.5)"
37.59450443373062,1.3985543246429275,0,"(0.057, 4.5)"
8.850275864312426,2.4026042693814005,0,"(0.057, 4.5)"
37.59450443373062,2.5321196173009306,0,"(0.057, 4.5)"
0.4409951362293213,1.3846979549233105,0,"(0.057, 4.5)"
25.996698691044006,2.5917010974831034,0,"(0.057, 4.5)"
40.049196848040445,2.5921800020745227,0,"(0.057, 4.5)"
19.801798835443336,2.539080199553992,0,"(0.057, 4.5)"
15.593953360244631,2.5976460738899525,0,"(0.057, 4.5)"
5.567504246765748,2.3611646268570654,0,"(0.057, 4.5)"
29.30526533722878,2.4609078808498435,0,"(0.057, 4.5)"
1.448391228634864,1.851910416711802,0,"(0.057, 4.5)"
29.30526533722878,2.543332571517879,0,"(0.057, 4.5)"
1.448391228634864,1.808979123802324,0,"(0.057, 4.5)"
8.117699194373564,2.4841573250749627,0,"(0.057, 4.5)"
8.291740891383961,2.493961518569214,0,"(0.057, 4.5)"
26.51542065916583,2.18228804499674,0,"(0.057, 4.5)"
11.617754759127276,2.136478152859853,0,"(0.057, 4.5)"
20.998379709664736,2.5735564927675108,0,"(0.057, 4.5)"
28.55632351925597,2.605173671662531,0,"(0.057, 4.5)"
27.605511064222085,2.6181549824838006,0,"(0.057, 4.5)"
