species,param,S1,S1_conf,ST,ST_conf,paired_p,F_corrected,F_ci_lo,F_ci_hi
passive,kick_rate,0.6482687183138918,0.1322191687035348,0.680763392134711,0.0811640394895488,0.576,0.004354995889751,0.0042332809068176,0.0063356664725063
passive,kick_torque,0.2988237175731943,0.1022073859613259,0.342768505491131,0.0650205740316191,0.266,0.004354995889751,0.0042332809068176,0.0063356664725063
swimmer,kick_rate,0.6814126336919677,0.0978543658300978,0.7150799933242697,0.0630171885333712,0.428,3.298201159386801e-05,6.380188454453745e-05,9.548798430563512e-05
swimmer,kick_torque,0.2794599534617905,0.0531579491266091,0.317712196457976,0.0396633621328072,0.104,3.298201159386801e-05,6.380188454453745e-05,9.548798430563512e-05
