series,x,y
KDE,-0.5,0.0
KDE,0.0,0.0
KDE,-0.498046875,0.0
KDE,-0.494140625,0.0
KDE,-0.490234375,0.0
KDE,-0.486328125,0.0
KDE,-0.482421875,0.0
KDE,-0.478515625,0.0
KDE,-0.474609375,0.0
KDE,-0.470703125,0.0
KDE,-0.466796875,0.0
KDE,-0.462890625,0.0
KDE,-0.458984375,0.0
KDE,-0.455078125,0.0
KDE,-0.451171875,0.0
KDE,-0.447265625,0.0
KDE,-0.443359375,0.0
KDE,-0.439453125,0.0
KDE,-0.435546875,0.0
KDE,-0.431640625,0.0
KDE,-0.427734375,0.0
KDE,-0.423828125,0.0
KDE,-0.419921875,0.0
KDE,-0.416015625,0.0
KDE,-0.412109375,0.0
KDE,-0.408203125,0.0
KDE,-0.404296875,0.0
KDE,-0.400390625,0.0
KDE,-0.396484375,0.0
KDE,-0.392578125,0.0
KDE,-0.388671875,0.0
KDE,-0.384765625,0.0
KDE,-0.380859375,0.0
KDE,-0.376953125,0.0
KDE,-0.373046875,0.0
KDE,-0.369140625,0.0
KDE,-0.365234375,0.0
KDE,-0.361328125,0.0
KDE,-0.357421875,0.0
KDE,-0.353515625,0.0
KDE,-0.349609375,0.0
KDE,-0.345703125,0.0
KDE,-0.341796875,0.0
KDE,-0.337890625,0.0
KDE,-0.333984375,0.0
KDE,-0.330078125,0.0
KDE,-0.326171875,0.0
KDE,-0.322265625,0.0
KDE,-0.318359375,0.0
KDE,-0.314453125,0.0
KDE,-0.310546875,0.0
KDE,-0.306640625,0.0
KDE,-0.302734375,0.0
KDE,-0.298828125,0.0
KDE,-0.294921875,0.0
KDE,-0.291015625,0.0
KDE,-0.287109375,0.0
KDE,-0.283203125,0.0
KDE,-0.279296875,0.0
KDE,-0.275390625,0.0
KDE,-0.271484375,0.0
KDE,-0.267578125,0.0
KDE,-0.263671875,0.0
KDE,-0.259765625,0.0
KDE,-0.255859375,0.0
KDE,-0.251953125,0.0
KDE,-0.248046875,0.0
KDE,-0.244140625,0.0
KDE,-0.240234375,0.0
KDE,-0.236328125,0.0
KDE,-0.232421875,0.0
KDE,-0.228515625,0.0
KDE,-0.224609375,0.0
KDE,-0.220703125,0.0
KDE,-0.216796875,0.0
KDE,-0.212890625,0.0
KDE,-0.208984375,0.0
KDE,-0.205078125,0.0
KDE,-0.201171875,0.0
KDE,-0.197265625,0.0
KDE,-0.193359375,0.0
KDE,-0.189453125,0.0
KDE,-0.185546875,0.0
KDE,-0.181640625,0.0
KDE,-0.177734375,0.0
KDE,-0.173828125,0.0
KDE,-0.169921875,0.0
KDE,-0.166015625,0.0
KDE,-0.162109375,0.0
KDE,-0.158203125,0.0
KDE,-0.154296875,0.0
KDE,-0.150390625,0.0
KDE,-0.146484375,0.0
KDE,-0.142578125,0.0
KDE,-0.138671875,0.0
KDE,-0.134765625,0.0
KDE,-0.130859375,0.0
KDE,-0.126953125,0.0
KDE,-0.123046875,0.0
KDE,-0.119140625,0.0
KDE,-0.115234375,0.0
KDE,-0.111328125,0.0
KDE,-0.107421875,0.0
KDE,-0.103515625,0.0
KDE,-0.099609375,0.0
KDE,-0.095703125,6.058440034202427e-10
KDE,-0.091796875,9.444657947460945e-09
KDE,-0.087890625,8.05780983500317e-08
KDE,-0.083984375,3.79069306195257e-07
KDE,-0.080078125,1.0313632457070709e-06
KDE,-0.076171875,1.935084776933356e-06
KDE,-0.072265625,3.7438889269585657e-06
KDE,-0.068359375,9.16660315148784e-06
KDE,-0.064453125,2.2939617361449805e-05
KDE,-0.060546875,5.0919129446771605e-05
KDE,-0.056640625,9.891583844151706e-05
KDE,-0.052734375,0.0001714322562505
KDE,-0.048828125,0.0002576070952236
KDE,-0.044921875,0.0003252410396681
KDE,-0.041015625,0.0003491872701933
KDE,-0.037109375,0.0003256656022934
KDE,-0.033203125,0.0002688416583668
KDE,-0.029296875,0.0002106692891397
KDE,-0.025390625,0.0001879341318226
KDE,-0.021484375,0.0002299760019601
KDE,-0.017578125,0.0003626474147985
KDE,-0.013671875,0.000588150022737
KDE,-0.009765625,0.0008621337612785
KDE,-0.005859375,0.0011547827582392
KDE,-0.001953125,0.0015031864450196
KDE,0.001953125,0.0019986191863062
KDE,0.005859375,0.0028256870799774
KDE,0.009765625,0.0043598286594356
KDE,0.013671875,0.0073591727331214
KDE,0.017578125,0.0134310401104981
KDE,0.021484375,0.0259106267521221
KDE,0.025390625,0.0508819249550238
KDE,0.029296875,0.0973976332026561
KDE,0.033203125,0.1750078561476378
KDE,0.037109375,0.287247434967606
KDE,0.041015625,0.4349464155076734
KDE,0.044921875,0.6480286134528335
KDE,0.048828125,0.981143231288458
KDE,0.052734375,1.420185905405978
KDE,0.056640625,1.897946351587008
KDE,0.060546875,2.373750423972777
KDE,0.064453125,2.7442592004325737
KDE,0.068359375,2.8967804264065524
KDE,0.072265625,2.8678930986474085
KDE,0.076171875,2.766981100919595
KDE,0.080078125,2.6545222148077694
KDE,0.083984375,2.545090717512567
KDE,0.087890625,2.4404017148788557
KDE,0.091796875,2.3411801703935557
KDE,0.095703125,2.2480852358471393
KDE,0.099609375,2.1605679055698306
KDE,0.103515625,2.0770912179314074
KDE,0.107421875,1.996434409411142
KDE,0.111328125,1.918956802880317
KDE,0.115234375,1.84586482099445
KDE,0.119140625,1.7775152436964234
KDE,0.123046875,1.7134842926683658
KDE,0.126953125,1.6528054428166237
KDE,0.130859375,1.594767184273946
KDE,0.134765625,1.5393099497813358
KDE,0.138671875,1.485973723417762
KDE,0.142578125,1.4344578432371582
KDE,0.146484375,1.385110765347377
KDE,0.150390625,1.3378353048583629
KDE,0.154296875,1.2924836401204225
KDE,0.158203125,1.2497030281647332
KDE,0.162109375,1.2095922220243942
KDE,0.166015625,1.1710908089678105
KDE,0.169921875,1.1339975778237914
KDE,0.173828125,1.099042039405098
KDE,0.177734375,1.065988380776204
KDE,0.181640625,1.0336839594458735
KDE,0.185546875,1.001570457346694
KDE,0.189453125,0.9700016318283076
KDE,0.193359375,0.939636210391833
KDE,0.197265625,0.9111617971347198
KDE,0.201171875,0.8844025060363333
KDE,0.205078125,0.8583023950523918
KDE,0.208984375,0.8327191805676156
KDE,0.212890625,0.8086517119194713
KDE,0.216796875,0.786637053378097
KDE,0.220703125,0.7663465600609446
KDE,0.224609375,0.7469527528951219
KDE,0.228515625,0.7278520207498178
KDE,0.232421875,0.7091342130227454
KDE,0.236328125,0.6909328981461804
KDE,0.240234375,0.6733165582696107
KDE,0.244140625,0.6566041768421451
KDE,0.248046875,0.6408028521583216
KDE,0.251953125,0.6253142772536984
