corner,kind,x,y
LR LS,raw,0.048828125,-0.0012479948358537
LR LS,raw,0.052734375,0.0039397656499651
LR LS,raw,0.056640625,-0.0095292329895386
LR LS,raw,0.060546875,0.061804905553373
LR LS,raw,0.064453125,0.0344247137741936
LR LS,raw,0.068359375,0.0160102200284587
LR LS,raw,0.072265625,0.0056632507146576
LR LS,raw,0.076171875,0.0005667150100948
LR LS,raw,0.080078125,-0.0016143385251442
LR LS,raw,0.083984375,-0.0023462275357502
LR LS,raw,0.087890625,-0.0029368163229283
LR LS,raw,0.091796875,-0.0029908847948766
LR LS,raw,0.095703125,-0.0034313277503854
LR LS,raw,0.099609375,-0.0037678645372531
LR LS,raw,0.103515625,-0.0037772088367023
LR LS,raw,0.107421875,-0.0037693153352
LR LS,raw,0.111328125,-0.0042278211635361
LR LS,raw,0.115234375,-0.0041764077840941
LR LS,raw,0.119140625,-0.0042717610056627
LR LS,raw,0.123046875,-0.0041952243672918
LR LS,raw,0.126953125,-0.004304338447719
LR LS,raw,0.130859375,-0.0042791323261387
LR LS,raw,0.134765625,-0.0045347673801437
LR LS,raw,0.138671875,-0.004857212948
LR LS,raw,0.142578125,-0.004477738673738
LR LS,raw,0.146484375,-0.004634002217987
LR LS,raw,0.150390625,-0.0048171747180956
LR LS,raw,0.154296875,-0.0047738009217677
LR LS,raw,0.158203125,-0.0045768719584812
LR LS,raw,0.162109375,-0.0045777598183774
LR LS,raw,0.166015625,-0.0051040116260597
LR LS,raw,0.169921875,-0.0045408760968385
LR LS,raw,0.173828125,-0.0045129727145742
LR LS,raw,0.177734375,-0.0043729855220057
LR LS,raw,0.181640625,-0.0044607182544468
LR LS,raw,0.185546875,-0.0046598598301687
LR LS,raw,0.189453125,-0.0046261066212821
LR LS,raw,0.193359375,-0.0039878550539521
LR LS,raw,0.197265625,-0.0041149859214064
LR LS,raw,0.201171875,-0.0044553993200153
LR LS,raw,0.205078125,-0.0037448105190948
LR LS,raw,0.208984375,-0.0037026495045546
LR LS,raw,0.212890625,-0.0030851573211353
LR LS,raw,0.216796875,-0.0035024513425743
LR LS,raw,0.220703125,-0.0033447196312676
LR LS,raw,0.224609375,-0.0028769475430907
LR LS,raw,0.228515625,-0.0028338428514293
LR LS,raw,0.232421875,-0.0029409194512959
LR LS,raw,0.236328125,-0.0021145599543672
LR LS,raw,0.240234375,-0.0029043811344554
LR LS,raw,0.244140625,-0.0027695777852153
LR LS,raw,0.248046875,-0.0020243060649277
LR LS,raw,0.251953125,-0.0013695915288382
LR LS,raw,0.255859375,-0.0021396366438695
LR LS,raw,0.259765625,-0.0019036916774197
LR LS,raw,0.263671875,-0.0018288721434344
LR LS,raw,0.267578125,-0.0021359723259647
LR LS,raw,0.271484375,-0.0019574211358056
LR LS,raw,0.275390625,-0.0016010354033122
LR LS,raw,0.279296875,-0.0014357027885687
LR LS,raw,0.283203125,-0.0012974555187513
