series,x,y,yerr
Dr=0.00,0.05,21.297469791666668,0.8575754671303695
Dr=0.00,0.0715247670798634,14.033301041666666,0.5712432992960169
Dr=0.00,0.10231584611657427,9.479775,0.3747696033795449
Dr=0.00,0.14636234124134245,6.7332760416666675,0.2576411189362892
Dr=0.00,0.2093706473310101,4.805685416666667,0.1946163191011636
Dr=0.00,0.29950373567421446,3.233342708333333,0.1284002932643376
Dr=0.00,0.42843869867294343,2.3437979166666665,0.09565210204568385
Dr=0.00,0.6128795626116414,1.6997395833333333,0.07349306006219661
Dr=0.00,0.8767213592761244,1.1750510416666666,0.04992679398677274
Dr=0.00,1.2541458203233207,0.794521875,0.033986206375315256
Dr=0.00,1.7940497536561948,0.5469229166666666,0.023410371669347403
Dr=0.00,2.5663798151989146,0.3783177083333334,0.015630090780255797
Dr=0.00,3.671194370411305,0.26183333333333325,0.011177854119052826
Dr=0.00,5.251626444971488,0.180028125,0.007802721327646202
Dr=0.00,7.512427165340739,0.12457916666666667,0.0054533420826910865
Dr=0.00,10.746492064108693,0.09121458333333334,0.003909923505481157
Dr=0.00,15.372806836219503,0.0614,0.002519658173126776
Dr=0.00,21.99072856648665,0.045040625,0.0018185232946332057
Dr=0.00,31.457634772689108,0.032535416666666664,0.001309861536886546
Dr=0.00,45.0,0.022885416666666665,0.0009010596848359765
Dr=0.05,0.05,3.1887343749999997,0.06535527077555346
Dr=0.05,0.0715247670798634,3.0042375,0.0655004928360819
Dr=0.05,0.10231584611657427,2.7873208333333332,0.062469997952513734
Dr=0.05,0.14636234124134245,2.6340833333333333,0.061313226456114464
Dr=0.05,0.2093706473310101,2.341242708333333,0.05953323549046532
Dr=0.05,0.29950373567421446,2.0681625,0.05740782903427814
Dr=0.05,0.42843869867294343,1.74368125,0.052753516975200976
Dr=0.05,0.6128795626116414,1.3701104166666669,0.04577060771992725
Dr=0.05,0.8767213592761244,1.0249489583333333,0.0371348111230015
Dr=0.05,1.2541458203233207,0.7467791666666667,0.02826292199955502
Dr=0.05,1.7940497536561948,0.5419625,0.02223335658963959
Dr=0.05,2.5663798151989146,0.37692291666666666,0.015170194599288728
Dr=0.05,3.671194370411305,0.26487083333333333,0.011415665821583293
Dr=0.05,5.251626444971488,0.18371979166666666,0.008137565034842824
Dr=0.05,7.512427165340739,0.12649895833333333,0.005509339818565636
Dr=0.05,10.746492064108693,0.09275729166666667,0.003987501902325072
Dr=0.05,15.372806836219503,0.06228333333333334,0.00258913844586511
Dr=0.05,21.99072856648665,0.045027083333333336,0.0018164477117819336
Dr=0.05,31.457634772689108,0.03261041666666667,0.001311518033591964
Dr=0.05,45.0,0.022852083333333332,0.0008969356683727734
Dr=0.10,0.05,2.8025531249999998,0.059778953155859536
Dr=0.10,0.0715247670798634,2.6821604166666666,0.059744740600755596
Dr=0.10,0.10231584611657427,2.5419739583333336,0.05932548577193119
Dr=0.10,0.14636234124134245,2.3643802083333334,0.05515710754134743
Dr=0.10,0.2093706473310101,2.147439583333333,0.05547030583705825
Dr=0.10,0.29950373567421446,1.883496875,0.0519633923834798
Dr=0.10,0.42843869867294343,1.598253125,0.04714305963291555
Dr=0.10,0.6128795626116414,1.3014239583333336,0.04082904462008419
Dr=0.10,0.8767213592761244,0.9907177083333333,0.033552194022344654
Dr=0.10,1.2541458203233207,0.7311437500000001,0.0263443205902609
Dr=0.10,1.7940497536561948,0.5302666666666667,0.02035736149712447
Dr=0.10,2.5663798151989146,0.38368645833333337,0.015430724078315462
Dr=0.10,3.671194370411305,0.27244062500000005,0.011638812132180553
Dr=0.10,5.251626444971488,0.18519895833333333,0.007929703368117063
Dr=0.10,7.512427165340739,0.13086979166666665,0.005738171733433332
Dr=0.10,10.746492064108693,0.09589374999999999,0.0041107773987869465
Dr=0.10,15.372806836219503,0.063984375,0.0026435449215136725
Dr=0.10,21.99072856648665,0.04626770833333334,0.0018966836859419987
Dr=0.10,31.457634772689108,0.03323541666666667,0.0013471431633970271
Dr=0.10,45.0,0.023272916666666667,0.0009242704053816839
Poisson,0.05,20.0,
Poisson,0.05173869187040057,19.327894924457777,
Poisson,0.05353784472920505,18.678376110544043,
Poisson,0.0553995610369938,18.050684541204877,
Poisson,0.05732601636496943,17.444086706347107,
Poisson,0.05931946193729385,16.85787374567039,
Poisson,0.06138222726183203,16.291360620304637,
Poisson,0.06351672285237656,15.74388531228487,
Poisson,0.06572544304553482,15.214808050927804,
Poisson,0.06801096891556978,14.703510565206336,
Poisson,0.07037597129060108,14.20939536124815,
Poisson,0.07282321387369133,13.7318850241141,
Poisson,0.07535555647246392,13.27042154304063,
Poisson,0.07797595834102757,12.824465659357513,
Poisson,0.08068748163811233,12.393496236318954,
Poisson,0.08349329500545796,11.977009650111784,
Poisson,0.08639667727063685,11.574519201328872,
Poisson,0.08940102127863843,11.185554546220168,
Poisson,0.09250983785669196,10.809661147056719,
Poisson,0.09572675991696203,10.446399740965305,
Poisson,0.09905554670191022,10.095345826613016,
Poisson,0.10250008817728411,9.756089168141987,
Poisson,0.10606440957786781,9.42823331577445,
Poisson,0.10975267611130532,9.111395142528036,
Poisson,0.11356919782549396,8.805204396499844,
Poisson,0.11751843464523595,8.509303268196133,
Poisson,0.12160500158403341,8.223345972402,
Poisson,0.1258336741371175,7.94699834410245,
Poisson,0.13020939386201433,7.679937447982604,
Poisson,0.13473727415316772,7.421851201050809,
Poisson,0.1394226062173686,7.1724380079435415,
Poisson,0.14427086525697258,6.9314064084860005,
Poisson,0.14928771686813164,6.698474737096535,
Poisson,0.15447902366151725,6.473370793636839,
Poisson,0.1598508521132712,6.255831525323333,
Poisson,0.16540947965419017,6.045602719327991,
Poisson,0.1711614020054287,5.842438705709381,
Poisson,0.17711334076929275,5.646102070326801,
Poisson,0.18327225128399385,5.456363377401996,
Poisson,0.18964533075154363,5.273000901404267,
Poisson,0.19624002664828633,5.095800367945642,
Poisson,0.20306404542789766,4.924554703383332,
Poisson,0.21012536152702038,4.759063792836869,
Poisson,0.21743222668406056,4.599134246337126,
Poisson,0.22499317958203394,4.444579172833964,
Poisson,0.23281705582673112,4.295217961798415,
Poisson,0.24091299827186174,4.150876072164174,
Poisson,0.24929046770324395,4.011384828361759,
Poisson,0.2579592538945237,3.876581223207009,
Poisson,0.26692948704734376,3.7463077274135537,
Poisson,0.2762116496293319,3.620412105506669,
Poisson,0.2858165886237409,3.498747237923393,
Poisson,0.29575552820505535,3.3811709490910102,
Poisson,0.30604008285537837,3.267545841283012,
Poisson,0.3166822709369256,3.1577391340583527,
Poisson,0.327694528736486,3.0516225090964064,
Poisson,0.3390897249982635,2.949071960246277,
Poisson,0.3508811759620804,2.8499676486152383,
Poisson,0.3630826609245175,2.7541937625269672,
