k,tau,E
0.950130616126582,0.3264690213100985,1.6641834751106868
2.7476890088934454,0.3264690213100985,1.5690371458916814
4.545247401660308,0.3264690213100985,1.508271377571293
6.342805794427172,0.3264690213100985,1.4712190075303437
8.140364187194036,0.3264690213100985,1.5418130157612597
9.9379225799609,0.3264690213100985,1.479988419260678
11.735480972727762,0.3264690213100985,1.4302071778047165
13.533039365494625,0.3264690213100985,1.5843741838386716
15.330597758261488,0.3264690213100985,1.489661881931656
17.12815615102835,0.3264690213100985,1.5086036438264672
18.925714543795216,0.3264690213100985,1.5184699446053962
20.723272936562076,0.3264690213100985,1.489245051219758
22.520831329328942,0.3264690213100985,1.5347319964060373
24.3183897220958,0.3264690213100985,1.490091309303668
26.115948114862668,0.3264690213100985,1.4784079640596697
27.913506507629528,0.3264690213100985,1.5192321842900287
29.711064900396394,0.3264690213100985,1.4981488867672306
31.508623293163257,0.3264690213100985,1.5079875104391753
33.30618168593012,0.3264690213100985,1.452472792630907
35.10374007869699,0.3264690213100985,1.4859142482721504
36.901298471463846,0.3264690213100985,1.5240567542720653
38.698856864230706,0.3264690213100985,1.4689157504893215
40.49641525699757,0.3264690213100985,1.5262484573002804
42.29397364976444,0.3264690213100985,1.4768391168678798
44.0915320425313,0.3264690213100985,1.4746146946958114
0.950130616126582,0.8640833293674515,1.5543048059360478
2.7476890088934454,0.8640833293674515,1.3899199130938424
4.545247401660308,0.8640833293674515,1.3402156002488703
6.342805794427172,0.8640833293674515,1.3212871232239636
8.140364187194036,0.8640833293674515,1.2890363385921215
9.9379225799609,0.8640833293674515,1.3020455017101666
11.735480972727762,0.8640833293674515,1.2988837904215398
13.533039365494625,0.8640833293674515,1.281440166052317
15.330597758261488,0.8640833293674515,1.278760941204727
17.12815615102835,0.8640833293674515,1.3329170130945602
18.925714543795216,0.8640833293674515,1.2509155061857589
20.723272936562076,0.8640833293674515,1.2700899064940419
22.520831329328942,0.8640833293674515,1.254535958039787
24.3183897220958,0.8640833293674515,1.2854175993931596
26.115948114862668,0.8640833293674515,1.2600696319560474
27.913506507629528,0.8640833293674515,1.2861133062906553
29.711064900396394,0.8640833293674515,1.262606195839264
31.508623293163257,0.8640833293674515,1.2533316635376943
33.30618168593012,0.8640833293674515,1.2476450497739657
35.10374007869699,0.8640833293674515,1.204699944834295
36.901298471463846,0.8640833293674515,1.242046841351524
38.698856864230706,0.8640833293674515,1.270195247300509
40.49641525699757,0.8640833293674515,1.2564896262588496
42.29397364976444,0.8640833293674515,1.254291835340628
44.0915320425313,0.8640833293674515,1.231260430602812
0.950130616126582,1.4016976374248045,1.5412590425893922
2.7476890088934454,1.4016976374248045,1.3494350631895222
4.545247401660308,1.4016976374248045,1.3032305407866305
6.342805794427172,1.4016976374248045,1.2684936207206732
