k,tau,E
0.950130616126582,0.3264690213100985,1.417417240745216
2.7476890088934454,0.3264690213100985,1.6300726195729265
4.545247401660308,0.3264690213100985,1.763912143233881
6.342805794427172,0.3264690213100985,1.8590222529680294
8.140364187194036,0.3264690213100985,1.6842860795079766
9.9379225799609,0.3264690213100985,1.8255040563769105
11.735480972727762,0.3264690213100985,1.9363856820905099
13.533039365494625,0.3264690213100985,1.5931007515816435
15.330597758261488,0.3264690213100985,1.806189236515373
17.12815615102835,0.3264690213100985,1.7750419294125837
18.925714543795216,0.3264690213100985,1.759906165719779
20.723272936562076,0.3264690213100985,1.801838218729609
22.520831329328942,0.3264690213100985,1.7055969537901856
24.3183897220958,0.3264690213100985,1.8041775515262137
26.115948114862668,0.3264690213100985,1.8236282197072882
27.913506507629528,0.3264690213100985,1.751683209915624
29.711064900396394,0.3264690213100985,1.785695869977834
31.508623293163257,0.3264690213100985,1.7769677091076646
33.30618168593012,0.3264690213100985,1.8944535526803192
35.10374007869699,0.3264690213100985,1.8205588296706718
36.901298471463846,0.3264690213100985,1.739876369095561
38.698856864230706,0.3264690213100985,1.8458093556149286
40.49641525699757,0.3264690213100985,1.7265549989988187
42.29397364976444,0.3264690213100985,1.83651465787676
44.0915320425313,0.3264690213100985,1.847652487723712
0.950130616126582,0.8640833293674515,1.6454197621126325
2.7476890088934454,0.8640833293674515,2.0332299118902335
4.545247401660308,0.8640833293674515,2.1349725281592016
6.342805794427172,0.8640833293674515,2.1700661925263525
8.140364187194036,0.8640833293674515,2.2400043611881975
9.9379225799609,0.8640833293674515,2.196435380691747
11.735480972727762,0.8640833293674515,2.2104065633153995
13.533039365494625,0.8640833293674515,2.249455624553841
15.330597758261488,0.8640833293674515,2.2491794646597367
17.12815615102835,0.8640833293674515,2.1333898145645978
18.925714543795216,0.8640833293674515,2.3144644310544096
20.723272936562076,0.8640833293674515,2.2594677473276144
22.520831329328942,0.8640833293674515,2.2989167308526053
24.3183897220958,0.8640833293674515,2.2395552193609776
26.115948114862668,0.8640833293674515,2.28282305285222
27.913506507629528,0.8640833293674515,2.230732062405994
29.711064900396394,0.8640833293674515,2.2726571757546608
31.508623293163257,0.8640833293674515,2.2934873548124313
33.30618168593012,0.8640833293674515,2.313389240522268
35.10374007869699,0.8640833293674515,2.3960507793628802
36.901298471463846,0.8640833293674515,2.3085818583709465
38.698856864230706,0.8640833293674515,2.2719971727526937
40.49641525699757,0.8640833293674515,2.2770886382645483
42.29397364976444,0.8640833293674515,2.305419441468127
44.0915320425313,0.8640833293674515,2.3288365248436698
0.950130616126582,1.4016976374248045,1.701886525464214
2.7476890088934454,1.4016976374248045,2.1676621271656167
4.545247401660308,1.4016976374248045,2.251895399620814
6.342805794427172,1.4016976374248045,2.3139436448825674
8.140364187194036,1.4016976374248045,2.3850775259511394
9.9379225799609,1.4016976374248045,2.3873567659359276
